2026-06-18 07:27:41.160 | WARNING  | __main__:main:101 - pc-agent link error (OSError: [WinError 1232] Сетевая папка недоступна. За информацией о разрешении проблем в сети обратитесь к справочной системе Windows); reconnecting
2026-06-18 07:28:10.493 | WARNING  | __main__:main:101 - pc-agent link error (OSError: [WinError 1232] Сетевая папка недоступна. За информацией о разрешении проблем в сети обратитесь к справочной системе Windows); reconnecting
2026-06-18 07:28:40.763 | WARNING  | __main__:main:101 - pc-agent link error (OSError: [WinError 1232] Сетевая папка недоступна. За информацией о разрешении проблем в сети обратитесь к справочной системе Windows); reconnecting
2026-06-18 07:29:01.806 | WARNING  | __main__:main:101 - pc-agent link error (OSError: [WinError 1232] Сетевая папка недоступна. За информацией о разрешении проблем в сети обратитесь к справочной системе Windows); reconnecting
2026-06-18 07:29:25.601 | WARNING  | __main__:main:101 - pc-agent link error (OSError: [WinError 1232] Сетевая папка недоступна. За информацией о разрешении проблем в сети обратитесь к справочной системе Windows); reconnecting
2026-06-18 07:29:57.522 | WARNING  | __main__:main:101 - pc-agent link error (OSError: [WinError 1232] Сетевая папка недоступна. За информацией о разрешении проблем в сети обратитесь к справочной системе Windows); reconnecting
2026-06-18 08:25:31.949 | WARNING  | __main__:main:101 - pc-agent link error (OSError: [WinError 1232] Сетевая папка недоступна. За информацией о разрешении проблем в сети обратитесь к справочной системе Windows); reconnecting
2026-06-18 08:26:12.031 | WARNING  | __main__:main:101 - pc-agent link error (OSError: [WinError 1232] Сетевая папка недоступна. За информацией о разрешении проблем в сети обратитесь к справочной системе Windows); reconnecting
2026-06-18 08:26:50.216 | WARNING  | __main__:main:101 - pc-agent link error (OSError: [WinError 1232] Сетевая папка недоступна. За информацией о разрешении проблем в сети обратитесь к справочной системе Windows); reconnecting
2026-06-18 08:27:18.225 | WARNING  | __main__:main:101 - pc-agent link error (OSError: [WinError 1232] Сетевая папка недоступна. За информацией о разрешении проблем в сети обратитесь к справочной системе Windows); reconnecting
2026-06-18 08:27:39.566 | WARNING  | __main__:main:101 - pc-agent link error (OSError: [WinError 1232] Сетевая папка недоступна. За информацией о разрешении проблем в сети обратитесь к справочной системе Windows); reconnecting
2026-06-18 08:28:05.174 | WARNING  | __main__:main:101 - pc-agent link error (OSError: [WinError 1232] Сетевая папка недоступна. За информацией о разрешении проблем в сети обратитесь к справочной системе Windows); reconnecting
2026-06-18 08:28:39.276 | WARNING  | __main__:main:101 - pc-agent link error (OSError: [WinError 1232] Сетевая папка недоступна. За информацией о разрешении проблем в сети обратитесь к справочной системе Windows); reconnecting
2026-06-18 09:56:15.641 | WARNING  | __main__:main:101 - pc-agent link error (OSError: [WinError 1232] Сетевая папка недоступна. За информацией о разрешении проблем в сети обратитесь к справочной системе Windows); reconnecting
2026-06-18 09:56:46.801 | WARNING  | __main__:main:101 - pc-agent link error (OSError: [WinError 1232] Сетевая папка недоступна. За информацией о разрешении проблем в сети обратитесь к справочной системе Windows); reconnecting
2026-06-18 09:57:14.132 | WARNING  | __main__:main:101 - pc-agent link error (OSError: [WinError 1232] Сетевая папка недоступна. За информацией о разрешении проблем в сети обратитесь к справочной системе Windows); reconnecting
2026-06-18 09:57:35.381 | WARNING  | __main__:main:101 - pc-agent link error (OSError: [WinError 1232] Сетевая папка недоступна. За информацией о разрешении проблем в сети обратитесь к справочной системе Windows); reconnecting
2026-06-18 09:58:12.279 | WARNING  | __main__:main:101 - pc-agent link error (OSError: [WinError 1232] Сетевая папка недоступна. За информацией о разрешении проблем в сети обратитесь к справочной системе Windows); reconnecting
2026-06-18 09:58:38.381 | WARNING  | __main__:main:101 - pc-agent link error (OSError: [WinError 1232] Сетевая папка недоступна. За информацией о разрешении проблем в сети обратитесь к справочной системе Windows); reconnecting
2026-06-18 10:11:44.556 | WARNING  | __main__:main:101 - pc-agent link error (OSError: [WinError 1232] Сетевая папка недоступна. За информацией о разрешении проблем в сети обратитесь к справочной системе Windows); reconnecting
2026-06-18 10:12:11.048 | WARNING  | __main__:main:101 - pc-agent link error (OSError: [WinError 1232] Сетевая папка недоступна. За информацией о разрешении проблем в сети обратитесь к справочной системе Windows); reconnecting
2026-06-18 10:12:46.888 | WARNING  | __main__:main:101 - pc-agent link error (OSError: [WinError 1232] Сетевая папка недоступна. За информацией о разрешении проблем в сети обратитесь к справочной системе Windows); reconnecting
2026-06-18 10:13:13.500 | WARNING  | __main__:main:101 - pc-agent link error (OSError: [WinError 1232] Сетевая папка недоступна. За информацией о разрешении проблем в сети обратитесь к справочной системе Windows); reconnecting
2026-06-18 10:13:50.094 | WARNING  | __main__:main:101 - pc-agent link error (OSError: [WinError 1232] Сетевая папка недоступна. За информацией о разрешении проблем в сети обратитесь к справочной системе Windows); reconnecting
2026-06-18 10:14:27.734 | WARNING  | __main__:main:101 - pc-agent link error (OSError: [WinError 1232] Сетевая папка недоступна. За информацией о разрешении проблем в сети обратитесь к справочной системе Windows); reconnecting
2026-06-18 11:02:52.833 | WARNING  | __main__:main:101 - pc-agent link error (OSError: [WinError 1232] Сетевая папка недоступна. За информацией о разрешении проблем в сети обратитесь к справочной системе Windows); reconnecting
2026-06-18 11:03:16.415 | WARNING  | __main__:main:101 - pc-agent link error (OSError: [WinError 1232] Сетевая папка недоступна. За информацией о разрешении проблем в сети обратитесь к справочной системе Windows); reconnecting
2026-06-18 11:03:54.645 | WARNING  | __main__:main:101 - pc-agent link error (OSError: [WinError 1232] Сетевая папка недоступна. За информацией о разрешении проблем в сети обратитесь к справочной системе Windows); reconnecting
2026-06-18 11:04:30.254 | WARNING  | __main__:main:101 - pc-agent link error (OSError: [WinError 1232] Сетевая папка недоступна. За информацией о разрешении проблем в сети обратитесь к справочной системе Windows); reconnecting
2026-06-18 11:05:07.671 | WARNING  | __main__:main:101 - pc-agent link error (OSError: [WinError 1232] Сетевая папка недоступна. За информацией о разрешении проблем в сети обратитесь к справочной системе Windows); reconnecting
2026-06-18 11:05:37.254 | WARNING  | __main__:main:101 - pc-agent link error (OSError: [WinError 1232] Сетевая папка недоступна. За информацией о разрешении проблем в сети обратитесь к справочной системе Windows); reconnecting
2026-06-18 11:06:08.974 | WARNING  | __main__:main:101 - pc-agent link error (OSError: [WinError 1232] Сетевая папка недоступна. За информацией о разрешении проблем в сети обратитесь к справочной системе Windows); reconnecting
2026-06-18 11:06:37.609 | WARNING  | __main__:main:101 - pc-agent link error (OSError: [WinError 1232] Сетевая папка недоступна. За информацией о разрешении проблем в сети обратитесь к справочной системе Windows); reconnecting
2026-06-18 11:07:06.887 | WARNING  | __main__:main:101 - pc-agent link error (OSError: [WinError 1232] Сетевая папка недоступна. За информацией о разрешении проблем в сети обратитесь к справочной системе Windows); reconnecting
2026-06-18 11:07:39.497 | WARNING  | __main__:main:101 - pc-agent link error (OSError: [WinError 1232] Сетевая папка недоступна. За информацией о разрешении проблем в сети обратитесь к справочной системе Windows); reconnecting
2026-06-18 11:08:05.455 | WARNING  | __main__:main:101 - pc-agent link error (OSError: [WinError 1232] Сетевая папка недоступна. За информацией о разрешении проблем в сети обратитесь к справочной системе Windows); reconnecting
2026-06-18 12:10:36.755 | WARNING  | __main__:main:101 - pc-agent link error (OSError: [WinError 1232] Сетевая папка недоступна. За информацией о разрешении проблем в сети обратитесь к справочной системе Windows); reconnecting
2026-06-18 12:11:06.301 | WARNING  | __main__:main:101 - pc-agent link error (OSError: [WinError 1232] Сетевая папка недоступна. За информацией о разрешении проблем в сети обратитесь к справочной системе Windows); reconnecting
2026-06-18 12:11:35.571 | WARNING  | __main__:main:101 - pc-agent link error (OSError: [WinError 1232] Сетевая папка недоступна. За информацией о разрешении проблем в сети обратитесь к справочной системе Windows); reconnecting
2026-06-18 12:12:04.372 | WARNING  | __main__:main:101 - pc-agent link error (OSError: [WinError 1232] Сетевая папка недоступна. За информацией о разрешении проблем в сети обратитесь к справочной системе Windows); reconnecting
